Provider;Country;Duration;Workload;Examination;Certificate;Languaage;Date;Subject;Tags;Subtitles;Course.name;NA
edX;USA;7 Weeks;7-10 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Oct 20th 2015;Introductory biology or equivalent.;Biology & Life SciencesMedicine & Pharmacology;ImmunologyBody DefensesMedicine;BIOC372.1x: Fundamentals of Immunology Part 1 (edX);Rice University
FutureLearn;New Zealand;8 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Oct 19th 2015;This course assumes very little experience with statistical ideas and concepts. The software you will use is powerful yet simple to use. It is already being used with ease by high school students around New Zealand.;Statistics & Data Analysis;StatisticsData AnalysisStatistical Analysis;Data to Insight: An Introduction to Data Analysis (FutureLearn);The University of Auckland
Coursera;Spain;5 Weeks;1-3 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Oct 19th 2015;No background knowledge or skills are required, though we recommend an interest in media and the Olympics as a contemporary phenomenon. ;Business & ManagementHumanitiesInformation, Technology, and DesignSocial Sciences;OlympicsMediaOlympic Games;The Olympic Games and the Media (Coursera);Universitat Autònoma de Barcelona
Canvas Network;USA;5 Weeks;No information;No Exam and/or Final Project information;No certificate information;English;Oct 19th 2015;Business & ManagementPersonal & Professional Development;Employability SkillsIndustryJobSkillsIndustry Jobs;Employability Skills for Industry (Canvas.net);Employability Skills for Industry (Canvas.net);Colorado Community College System
Miríada X;Brazil;6 Weeks;3-4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;Portuguese;Oct 19th 2015;Conhecimentos de matemática e física do ensino médio. ;Engineering;EngineeringProduction Engineering;Introdução à Engenharia de Produção (Miríada X);Pontifícia Universidade Católica do Rio Grande do Sul
FUN;France;6 Weeks;2 hours/week;No Exam or Final Project;No Certificate;English;Oct 19th 2015;To follow this course we expect from you that you have already some basic knowledge of informatics, in particular you should already know how to write simple computer programs in some programming language.;Computer Science: Artificial Intelligence, Robotics, Vision;ProgrammingOCamlFunctional ProgrammingData Structures; Introduction to Functional Programming in OCaml (FUN);Université Paris Diderot
FutureLearn;United Kingdom;2 Weeks;4 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Oct 19th 2015;This course is for anyone who is concerned about the world’s environmental problems and the policies used to tackle them. ;Biology & Life SciencesSocial Sciences;Natural ResourcesManagementNatureConservation;Fairness and Nature: When Worlds Collide (FutureLearn);University of Leeds
iversity;Germany;8 Weeks;2-3 hours/week;No Exam or Final Project;No Certificate;English;Oct 19th 2015;Recommended background: basic knowledge of European Union ;Social Sciences;RegionsEuropean UnionEurope;Regions, EU Institutions and Policy-Making (iversity);European Committee of the Regions
Miríada X;Spain;4 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;Spanish;Oct 19th 2015; No se contemplan.;EducationHumanities;MuseumsEducation; Educación y Museos (Miríada X);Universidad de Murcia
Canvas Network;USA;6 Weeks;No information;No Exam and/or Final Project information;No certificate information;English;Oct 19th 2015;Intended for educators or professionals.;EducationTeacher Professional Development;Library ResearchEducationResearch;Teaching Library Research Strategies (Canvas.net);Canvas Network
FUN;France;6 Weeks;2-3 hours/week;No Exam or Final Project;No Certificate;French;Oct 19th 2015;Ce cours en ligne est introductif et ne nécessite pas de prérequis particulier.;Energy & Earth Sciences;Climate ChangeEnvironment; Causes et enjeux du changement climatique (FUN);Fondation UVED
NovoEd;USA;4 Weeks;1 hour/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Oct 19th 2015;Business & ManagementComputer Science: Artificial Intelligence, Robotics, VisionInformation, Technology, and Design;Artificial IntelligenceCognitive TechnologiesTechnologyBusinessRoboticsMachine LearningRobots;Cognitive technologies: The real opportunities for business (NovoEd);Cognitive technologies: The real opportunities for business (NovoEd);Deloitte University Press
FutureLearn;United Kingdom;3 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Oct 19th 2015;This course is open to anyone with a basic understanding of mathematics. I;Business & ManagementMathematicsPersonal & Professional Development;Numeracy SkillsMathsMathematicsEmployability Skills;Numeracy Skills for Employability and the Workplace (FutureLearn);Loughborough University
FutureLearn;United Kingdom;2 Weeks;2 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Oct 19th 2015;This course is suitable for a range of existing healthcare providers, including qualified and student nurses, paramedics and support workers.;Health & SocietyMedicine & Pharmacology;ECGElectrocardiographyMedicineElectrocardiogramHealthcare; ECG Assessment: an Introduction for Healthcare Providers (FutureLearn);St George's, University of London
edX;USA;4 Weeks;12 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Oct 19th 2015;"A two-semester sequence in Quantum Mechanics at the level of MIT 8.05 and 8.06. Completion of ""Atomic and Optical Physics I - Part 1: Resonance""";Physics;PhysicsOptical PhysicsAtomic PhysicsAtomAtomic Structure;Atomic and Optical Physics I - Part 2: Atomic structure and atoms in external field (edX);MIT
FutureLearn;Switzerland;8 Weeks;2 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Oct 19th 2015;This course is intended for anyone interested in the topics of environmental economics and energy economics, including students at MSc or advanced BA level and policy makers.;Economics & FinanceEnergy & Earth Sciences;Environmental EconomicsEnergy EconomicsRenewable EnergyClimate Change; Exploring Possible Futures: Modeling in Environmental and Energy Economics (FutureLearn);University of Basel
edX;USA;6 Weeks;3-4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Oct 19th 2015;None. ;Art, Architecture, and DesignChemistryHumanities;ChemistryArt ConservationArt Material;Science in Art: The Chemistry of Art Materials and Conservation (edX);Trinity College, Hartford
Canvas Network;USA;9 Weeks;2-3 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment (Free);English;Oct 19th 2015;Humanities;MissouriCivil War; Missouri's Civil War (Canvas net); Missouri's Civil War (Canvas net);Missouri State University
FutureLearn;United Kingdom;2 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Oct 19th 2015;This course is aimed at both early undergraduate-level students and those with an interest in the Battle of Agincourt, medieval history in general, and medieval guns and other weaponry. It does not require any previous knowledge of the subject.;Humanities;AgincourtBattleEngland; Agincourt 1415: Myth and Reality (FutureLearn);University of Southampton
Coursera;USA;6 Weeks;5-10 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Oct 19th 2015;It is intended for anyone interested in learning about human rights, including undergraduate and graduate and professional students. No prior knowledge of law, international relations or human rights is required.;LawSocial Sciences;Human RightsLaw;International Human Rights Law: Prospects and Challenges (Coursera);Duke University
Canvas Network;United Kingdom;8 Weeks;No information;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Oct 19th 2015;Intended for educators or professionals.;Health & SocietyMedicine & Pharmacology;Mental HealthHealthcare;What Matters: Understanding Mental Health (Canvas.net);London South Bank University
Canvas Network;USA;5 Weeks;No information;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Oct 19th 2015;Mathematics;MathArithmeticAlgebraGeometryTrigonometryStatistics;Technical Math for Industry (Canvas.net);Technical Math for Industry (Canvas.net);Colorado Community College System
Miríada X;Spain;7 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;Spanish;Oct 19th 2015;Se recomiendan conocimientos básicos de matemáticas. En concreto, es recomendable conocimientos mínimos de números complejos y funciones trigonométricas, así como unas mínimas habilidades algebraicas (resolución de sistemas de ecuaciones). ;Engineering;ElectricityElectrical Circuits; Electricidad: conceptos básicos y aplicaciones (Miríada X);Universidad de la Laguna
Coursera;USA;8 Weeks;6-8 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Oct 19th 2015;While there is no specific prerequisite knowledge to take this course, this course is targeted for students at an upper undergraduate or graduate level of education. This course is accessible to non-technical students.;Information, Technology, and Design;UrbanismCitiesNetworksTechnology;TechniCity (Coursera);The Ohio State University
Canvas Network;USA;6 Weeks;No information;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Oct 19th 2015;Social Sciences;Presidential NominationElectionNew HampshirePresidential Primary; FIRST! Understanding New Hampshire's Presidential Primary (Canvas net); FIRST! Understanding New Hampshire's Presidential Primary (Canvas net);University of New Hampshire
Coursera;Australia;6 Weeks;1-3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Oct 19th 2015;This course is directed at individuals within healthcare systems – clinicians, staff, leaders, managers and board members. ;Business & ManagementHealth & SocietySocial Sciences;LeadershipHealthcareManagement;Health Leadership (Coursera);UNSW Australia (The University of New South Wales)
Coursera;USA;7 Weeks;4-6 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Oct 19th 2015;The course is open to those without previous experience, as well as more advanced students and practicing professionals. ;Art, Architecture, and DesignEducationHumanitiesMusic, Film & AudioSocial Sciences;ArtPublic Art;ART of the MOOC: Merging Public Art and Experimental Education (Coursera);Creative Time
edX;México;7 Weeks;6-7 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);Spanish;Oct 19th 2015;Profesores (as) de educación básica, promotores y agentes de desarrollo educativo con nivel mínimo de bachillerato.;EducationTeacher Professional Development;Intercultural EducationEducationTeacher Development;Educación intercultural. Perspectivas interdisciplinarias (edX);Televisión Educativa
